"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 16 02:43:34 UTC 2023","Wed Aug 16 02:43:42 UTC 2023","8488","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Wed Aug 16 02:57:25 UTC 2023","Wed Aug 16 02:57:29 UTC 2023","3947","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Wed Aug 16 02:48:27 UTC 2023","Wed Aug 16 02:48:35 UTC 2023","8079","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Wed Aug 16 02:16:49 UTC 2023","Wed Aug 16 02:17:22 UTC 2023","33355","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Aug 16 03:51:14 UTC 2023","Wed Aug 16 03:51:52 UTC 2023","38387","","17.0 Create Test User on Live Portal","","","","3. Subscribe user via Investment Suitability Calculator",""
"passed","Wed Aug 16 03:37:22 UTC 2023","Wed Aug 16 03:37:25 UTC 2023","2707","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Wed Aug 16 03:28:45 UTC 2023","Wed Aug 16 03:28:47 UTC 2023","2105","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Wed Aug 16 02:39:21 UTC 2023","Wed Aug 16 02:39:26 UTC 2023","4721","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Wed Aug 16 04:25:09 UTC 2023","Wed Aug 16 04:25:20 UTC 2023","10976","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Wed Aug 16 02:55:48 UTC 2023","Wed Aug 16 02:56:13 UTC 2023","24578","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Aug 16 03:49:58 UTC 2023","Wed Aug 16 03:50:53 UTC 2023","55015","","17.0 Create Test User on Live Portal","","","","1. Create a new user on Live Portal",""
"passed","Wed Aug 16 04:26:53 UTC 2023","Wed Aug 16 04:26:58 UTC 2023","4479","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Wed Aug 16 04:08:23 UTC 2023","Wed Aug 16 04:08:40 UTC 2023","17038","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Wed Aug 16 03:13:50 UTC 2023","Wed Aug 16 03:14:08 UTC 2023","18327","","9. Client Portal - Home","","","","1. Check links",""
"passed","Wed Aug 16 03:46:38 UTC 2023","Wed Aug 16 03:46:53 UTC 2023","14931","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Wed Aug 16 03:02:14 UTC 2023","Wed Aug 16 03:02:16 UTC 2023","2432","","6. Company Account","","","","6. Review Review Page",""
"passed","Wed Aug 16 03:47:01 UTC 2023","Wed Aug 16 03:47:04 UTC 2023","3413","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Wed Aug 16 03:47:46 UTC 2023","Wed Aug 16 03:47:48 UTC 2023","2225","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Wed Aug 16 04:38:56 UTC 2023","Wed Aug 16 04:38:59 UTC 2023","2692","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Wed Aug 16 03:43:22 UTC 2023","Wed Aug 16 03:44:10 UTC 2023","48381","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Wed Aug 16 04:08:40 UTC 2023","Wed Aug 16 04:13:15 UTC 2023","274743","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Wed Aug 16 04:25:20 UTC 2023","Wed Aug 16 04:25:21 UTC 2023","49","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Wed Aug 16 02:48:55 UTC 2023","Wed Aug 16 02:49:02 UTC 2023","7144","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Wed Aug 16 03:47:08 UTC 2023","Wed Aug 16 03:47:11 UTC 2023","2894","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Wed Aug 16 03:21:35 UTC 2023","Wed Aug 16 03:22:02 UTC 2023","27376","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Wed Aug 16 02:48:05 UTC 2023","Wed Aug 16 02:48:27 UTC 2023","21809","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Aug 16 03:25:43 UTC 2023","Wed Aug 16 03:25:45 UTC 2023","1793","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Wed Aug 16 02:45:37 UTC 2023","Wed Aug 16 02:45:41 UTC 2023","3962","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Wed Aug 16 02:56:29 UTC 2023","Wed Aug 16 02:56:55 UTC 2023","25613","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Wed Aug 16 03:54:41 UTC 2023","Wed Aug 16 03:55:26 UTC 2023","44711","","17.1 Create Test User on Live Portal","","","","5. Create a new user for Walk The World",""
"passed","Wed Aug 16 04:16:55 UTC 2023","Wed Aug 16 04:17:00 UTC 2023","4245","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Wed Aug 16 04:25:21 UTC 2023","Wed Aug 16 04:25:23 UTC 2023","2669","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Wed Aug 16 03:22:04 UTC 2023","Wed Aug 16 03:22:06 UTC 2023","1382","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Wed Aug 16 03:22:02 UTC 2023","Wed Aug 16 03:22:04 UTC 2023","2230","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Wed Aug 16 02:57:58 UTC 2023","Wed Aug 16 02:58:00 UTC 2023","2085","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Wed Aug 16 03:46:57 UTC 2023","Wed Aug 16 03:47:01 UTC 2023","3945","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Wed Aug 16 04:28:23 UTC 2023","Wed Aug 16 04:28:31 UTC 2023","7596","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Wed Aug 16 02:36:33 UTC 2023","Wed Aug 16 02:36:42 UTC 2023","8448","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Wed Aug 16 02:43:12 UTC 2023","Wed Aug 16 02:43:34 UTC 2023","21258","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Wed Aug 16 04:39:11 UTC 2023","Wed Aug 16 04:39:38 UTC 2023","27122","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Wed Aug 16 02:56:55 UTC 2023","Wed Aug 16 02:57:00 UTC 2023","5495","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
